El Mundo en Cifras
Evolución del número de fallecidos
Año;Periodos;España;
2020;oct-19;33992;
2020;oct-20;34210;
2020;oct-21;34366;
2020;oct-22;34521;
2020;oct-23;34752;
2020;oct-24;;
2020;oct-25;;
2020;oct-26;35031;
2020;oct-27;35298;
2020;oct-28;35466;
2020;oct-29;35639;
2020;oct-30;35878;
2020;oct-31;;
2020;nov-01;;
2020;nov-02;36257;
2020;nov-03;36495;
2020;nov-04;38118;
2020;nov-05;38486;
2020;nov-06;38833;
2020;nov-07;;
2020;nov-08;;
2020;nov-09;39345;
2020;nov-10;39756;
2020;nov-11;40105;
2020;nov-12;40461;
2020;nov-13;40769;
2020;nov-14;;
2020;nov-15;;
2020;nov-16;41253;
2020;nov-17;41688;
2020;nov-18;42039;
2020;nov-19;42291;
2020;nov-20;42619;
2020;nov-21;;
2020;nov-22;;
2020;nov-23;43131;
2020;nov-24;43668;
2020;nov-25;44037;
2020;nov-26;44374;
2020;nov-27;44668;
2020;nov-28;;
2020;nov-29;;
2020;nov-30;45069;
2020;dic-01;45511;
2020;dic-02;45784;
2020;dic-03;46038;
2020;dic-04;46252;
2020;dic-05;;
2020;dic-06;;
2020;dic-07;46646;
2020;dic-08;;
2020;dic-09;47019;
2020;dic-10;47344;
2020;dic-11;47624;
2020;dic-12;;
2020;dic-13;;
2020;dic-14;48013;
2020;dic-15;48401;
2020;dic-16;48596;
2020;dic-17;48777;
2020;dic-18;48926;
2020;dic-19;;
2020;dic-20;;
2020;dic-21;49260;
2020;dic-22;49520;
2020;dic-23;49698;
2020;dic-24;49824;
2020;dic-25;;
2020;dic-26;;
2020;dic-27;;
2020;dic-28;50122;
2020;dic-29;50442;
2020;dic-30;50689;
2020;dic-31;50837;
2021;ene-01;;
2021;ene-02;;
2021;ene-03;;
2021;ene-04;51078;
2021;ene-05;51430;
2021;ene-06;;
2021;ene-07;51675;
2021;ene-08;51874;
2021;ene-09;;
2021;ene-10;;
2021;ene-11;52275;
2021;ene-12;52683;
2021;ene-13;52878;
2021;ene-14;53079;
2021;ene-15;53314;
2021;ene-16;;
2021;ene-17;;
2021;ene-18;53769;
2021;ene-19;54173;
2021;ene-20;54637;
2021;ene-21;55041;
2021;ene-22;55441;
2021;ene-23;;
2021;ene-24;;
2021;ene-25;56208;
2021;ene-26;56799;
2021;ene-27;;
2021;ene-28;;
2021;ene-29;58319;
2021;ene-30;;
2021;ene-31;;
2021;feb-01;59081;
2021;feb-02;59805;
2021;feb-03;60370;
2021;feb-04;60802;
2021;feb-05;61386;
2021;feb-06;;
2021;feb-07;;
2021;feb-08;62295;
2021;feb-09;63061;
2021;feb-10;63704;
2021;feb-11;64217;
2021;feb-12;64747;
2021;feb-13;;
2021;feb-14;;
2021;feb-15;65449;
2021;feb-16;65979;
2021;feb-17;66316;
2021;feb-18;66704;
2021;feb-19;67101;
2021;feb-20;;
2021;feb-21;;
2021;feb-22;67636;
2021;feb-23;68079;
2021;feb-24;68468;
2021;feb-25;68813;
2021;feb-26;69142;
2021;feb-27;;
2021;feb-28;;
2021;feb-29;;
2021;mar-01;69609;
2021;mar-02;69801;
2021;mar-03;70247;
2021;mar-04;70501;
2021;mar-05;71138;
2021;mar-06;;
2021;mar-07;;
2021;mar-08;71436;
2021;mar-09;71727;
2021;mar-10;71961;
2021;mar-11;72085;
2021;mar-12;72258;
2021;mar-13;;
2021;mar-14;;
2021;mar-15;72424;
2021;mar-16;72565;
2021;mar-17;72793;
2021;mar-18;72910;
2021;mar-19;;
2021;mar-20;;
2021;mar-21;;
2021;mar-22;73543;
2021;mar-23;73744;
2021;mar-24;74064;
2021;mar-25;74420;
2021;mar-26;75010;
2021;mar-27;;
2021;mar-28;;
2021;mar-29;75199;
2021;mar-30;75305;
2021;mar-31;75459;
2021;abr-01;75541;
2021;abr-02;;
2021;abr-03;75698;
2021;abr-04;;
2021;abr-05;75783;
2021;abr-06;75911;
2021;abr-07;76037;
2021;abr-08;76179;
2021;abr-09;76328;
2021;abr-10;;
2021;abr-11;;
2021;abr-12;76525;
2021;abr-13;76625;
2021;abr-14;76756;
2021;abr-15;76882;
2021;abr-16;76981;
2021;abr-17;;
2021;abr-18;;
2021;abr-19;77102;
2021;abr-20;77216;
2021;abr-21;77364;
2021;abr-22;77496;
2021;abr-23;77591;
2021;abr-24;;
2021;abr-25;;
2021;abr-26;77738;
2021;abr-27;77855;
2021;abr-28;77943;
2021;abr-29;78080;
2021;abr-30;78216;
2021;may-01;;
2021;may-02;;
2021;may-03;78293;
2021;may-04;78399;
2021;may-05;78566;
2021;may-06;78726;
2021;may-07;78792;
2021;may-08;;
2021;may-09;;
2021;may-10;78895;
2021;may-11;79100;
2021;may-12;79208;
2021;may-13;79281;
2021;may-14;79339;
2021;may-15;;
2021;may-16;;
2021;may-17;79432;
2021;may-18;79502;
2021;may-19;79568;
2021;may-20;79601;
2021;may-21;79620;
2021;may-22;;
2021;may-23;;
2021;may-24;79711;
2021;may-25;79801;
2021;may-26;79855;
2021;may-27;79888;
2021;may-28;79905;
2021;may-29;;
2021;may-30;;
2021;may-31;79953;
2021;jun-01;79983;
2021;jun-02;80049;
2021;jun-03;80099;
2021;jun-04;80196;
2021;jun-05;;
2021;jun-06;;
2021;jun-07;80236;
2021;jun-08;80309;
2021;jun-09;80332;
2021;jun-10;80465;
2021;jun-11;80501;
2021;jun-12;;
2021;jun-13;;
2021;jun-14;80517;
2021;jun-15;80579;
2021;jun-16;;
2021;jun-17;;
2021;jun-18;80652;
2021;jun-19;;
2021;jun-20;;
2021;jun-21;80689;
2021;jun-22;80719;
2021;jun-23;80748;
2021;jun-24;80748;
2021;jun-25;80779;
2021;jun-26;;
2021;jun-27;;
2021;jun-28;80789;
2021;jun-29;80829;
2021;jun-30;80875;
2021;jul-01;80883;
2021;jul-02;80911;
2021;jul-03;;
2021;jul-04;;
2021;jul-05;80934;
2021;jul-06;80952;
2021;jul-07;80969;
2021;jul-08;80997;
2021;jul-09;81003;
2021;jul-10;;
2021;jul-11;;
2021;jul-12;81020;
2021;jul-13;81033;
2021;jul-14;81043;
2021;jul-15;81084;
2021;jul-16;81096;
2021;jul-17;;
2021;jul-18;;
2021;jul-19;81119;
2021;jul-20;81148;
2021;jul-21;81166;
2021;jul-22;81194;
2021;jul-23;81221;
2021;jul-24;;
2021;jul-25;;
2021;jul-26;81268;
2021;jul-27;81323;
2021;jul-28;81396;
2021;jul-29;81442;
2021;jul-30;81486;
2021;jul-31;;
2021;ago-01;;
2021;ago-02;81643;
2021;ago-03;81773;
2021;ago-04;81844;
2021;ago-05;81931;
2021;ago-06;82006;
2021;ago-07;;
2021;ago-08;;
2021;ago-09;82125;
2021;ago-10;82227;
2021;ago-11;82320;
2021;ago-12;82407;
2021;ago-13;82470;
2021;ago-14;;
2021;ago-15;;
2021;ago-16;82595;
2021;ago-17;82739;
2021;ago-18;82883;
2021;ago-19;83004;
2021;ago-20;83136;
2021;ago-21;;
2021;ago-22;;
2021;ago-23;83337;
2021;ago-24;83527;
2021;ago-25;83690;
2021;ago-26;83861;
2021;ago-27;84000;
2021;ago-28;;
2021;ago-29;;
2021;ago-30;84146;
2021;ago-31;84340;
2021;sep-01;84472;
2021;sep-02;84640;
2021;sep-03;84795;
2021;sep-04;;
2021;sep-05;;
2021;sep-06;84928;
2021;sep-07;85066;
2021;sep-08;85147;
2021;sep-09;85218;
2021;sep-10;85290;
2021;sep-11;;
2021;sep-12;;
2021;sep-13;85393;
2021;sep-14;85548;
2021;sep-15;85638;
2021;sep-16;85739;
2021;sep-17;85783;
2021;sep-18;;
2021;sep-19;;
2021;sep-20;85901;
2021;sep-21;85983;
2021;sep-22;86085;
2021;sep-23;86185;
2021;sep-24;86229;
2021;sep-25;;
2021;sep-26;;
2021;sep-27;86298;
2021;sep-28;86358;
2021;sep-29;86397;
2021;sep-30;86415;
2021;oct-01;86463;
2021;oct-02;;
2021;oct-03;;
2021;oct-04;86527;
2021;oct-05;86621;
2021;oct-06;86678;
2021;oct-07;86701;
2021;oct-08;86778;
2021;oct-09;;
2021;oct-10;;
2021;oct-11;86827;
2021;oct-12;;
2021;oct-13;86869;
2021;oct-14;86917;
2021;oct-15;86974;
2021;oct-16;;
2021;oct-17;;
2021;oct-18;87030;
2021;oct-19;87051;
2021;oct-20;87082;
2021;oct-21;87102;
2021;oct-22;87132;
2021;oct-23;;
2021;oct-24;;
2021;oct-25;87186;
2021;oct-26;87238;
2021;oct-27;87289;
2021;oct-28;87322;
2021;oct-29;87368;
2021;oct-30;;
2021;oct-31;;
2021;nov-01;;
2021;nov-02;87423;
2021;nov-03;87462;
2021;nov-04;87477;
2021;nov-05;87504;
2021;nov-06;;
2021;nov-07;;
2021;nov-08;87558;
2021;nov-09;;
2021;nov-10;87617;
2021;nov-11;87647;
2021;nov-12;87673;
2021;nov-13;;
2021;nov-14;;
2021;nov-15;87716;
2021;nov-16;;
2021;nov-17;87775;
2021;nov-18;87804;
2021;nov-19;87810;
2021;nov-20;;
2021;nov-21;;
2021;nov-22;87832;
2021;nov-23;87866;
2021;nov-24;87904;
2021;nov-25;87931;
2021;nov-26;87955;
2021;nov-27;;
2021;nov-28;;
2021;nov-29;88008;
2021;nov-30;88052;
2021;dic-01;88080;
2021;dic-02;88122;
2021;dic-03;88159;
2021;dic-04;;
2021;dic-05;;
2021;dic-06;;
2021;dic-07;88237;
2021;dic-08;;
2021;dic-09;88321;
2021;dic-10;88381;
2021;dic-11;;
2021;dic-12;;
2021;dic-13;88484;
2021;dic-14;88542;
2021;dic-15;88619;
2021;dic-16;88667;
2021;dic-17;88708;
2021;dic-18;;
2021;dic-19;;
2021;dic-20;88793;
2021;dic-21;88887;
2021;dic-22;88937;
2021;dic-23;89019;
