El Mundo en Cifras
Evolución de los casos de COVID-19
Año;Periodos;España;
2020;oct-18;;
2020;oct-19;974449;
2020;oct-20;988322;
2020;oct-21;1005295;
2020;oct-22;1026281;
2020;oct-23;1046132;
2020;oct-24;;
2020;oct-25;;
2020;oct-26;1098320;
2020;oct-27;1116738;
2020;oct-28;1136503;
2020;oct-29;1160083;
2020;oct-30;1185678;
2020;oct-31;;
2020;nov-01;;
2020;nov-02;1240697;
2020;nov-03;1259366;
2020;nov-04;1284408;
2020;nov-05;1306316;
2020;nov-06;1328832;
2020;nov-07;;
2020;nov-08;;
2020;nov-09;1381218;
2020;nov-10;1398613;
2020;nov-11;1417709;
2020;nov-12;1437220;
2020;nov-13;1458591;
2020;nov-14;;
2020;nov-15;;
2020;nov-16;1496864;
2020;nov-17;1510023;
2020;nov-18;1525341;
2020;nov-19;1541574;
2020;nov-20;1556730;
2020;nov-21;;
2020;nov-22;;
2020;nov-23;1582616;
2020;nov-24;1594844;
2020;nov-25;1605066;
2020;nov-26;1617355;
2020;nov-27;1628208;
2020;nov-28;;
2020;nov-29;;
2020;nov-30;1648187;
2020;dic-01;1656444;
2020;dic-02;1665775;
2020;dic-03;1675902;
2020;dic-04;1684647;
2020;dic-05;;
2020;dic-06;;
2020;dic-07;1702328;
2020;dic-08;;
2020;dic-09;1712101;
2020;dic-10;1720056;
2020;dic-11;1730575;
2020;dic-12;;
2020;dic-13;;
2020;dic-14;1751884;
2020;dic-15;1762212;
2020;dic-16;1773290;
2020;dic-17;1785421;
2020;dic-18;1797236;
2020;dic-19;;
2020;dic-20;;
2020;dic-21;1819249;
2020;dic-22;1829903;
2020;dic-23;1842289;
2020;dic-24;1854951;
2020;dic-25;;
2020;dic-26;;
2020;dic-27;;
2020;dic-28;1879413;
2020;dic-29;1893502;
2020;dic-30;1910218;
2020;dic-31;1928265;
2021;ene-01;;
2021;ene-02;;
2021;ene-03;;
2021;ene-04;1958844;
2021;ene-05;1982544;
2021;ene-06;;
2021;ene-07;2024904;
2021;ene-08;2050360;
2021;ene-09;;
2021;ene-10;;
2021;ene-11;2111782;
2021;ene-12;2137220;
2021;ene-13;2176089;
2021;ene-14;2211967;
2021;ene-15;2252164;
2021;ene-16;;
2021;ene-17;;
2021;ene-18;2336451;
2021;ene-19;2370742;
2021;ene-20;2412318;
2021;ene-21;2456675;
2021;ene-22;2499560;
2021;ene-23;;
2021;ene-24;;
2021;ene-25;2593382;
2021;ene-26;2629817;
2021;ene-27;;
2021;ene-28;;
2021;ene-29;2743119;
2021;ene-30;;
2021;ene-31;;
2021;feb-01;2822805;
2021;feb-02;2851869;
2021;feb-03;2883465;
2021;feb-04;2913425;
2021;feb-05;2941990;
2021;feb-06;;
2021;feb-07;;
2021;feb-08;2989085;
2021;feb-09;3005487;
2021;feb-10;3023601;
2021;feb-11;3041454;
2021;feb-12;3056035;
2021;feb-13;;
2021;feb-14;;
2021;feb-15;3086286;
2021;feb-16;3096343;
2021;feb-17;3107172;
2021;feb-18;3121687;
2021;feb-19;3133122;
2021;feb-20;;
2021;feb-21;;
2021;feb-22;3153971;
2021;feb-23;3161432;
2021;feb-24;3170644;
2021;feb-25;3180212;
2021;feb-26;3188553;
2021;feb-27;;
2021;feb-28;;
2021;feb-29;;
2021;mar-01;3204531;
2021;mar-02;3130184;
2021;mar-03;3136321;
2021;mar-04;3142358;
2021;mar-05;3149012;
2021;mar-06;;
2021;mar-07;;
2021;mar-08;3160970;
2021;mar-09;3164983;
2021;mar-10;3178442;
2021;mar-11;3178356;
2021;mar-12;3183704;
2021;mar-13;;
2021;mar-14;;
2021;mar-15;3195062;
2021;mar-16;3200024;
2021;mar-17;3206116;
2021;mar-18;3212332;
2021;mar-19;;
2021;mar-20;;
2021;mar-21;;
2021;mar-22;3228803;
2021;mar-23;3234319;
2021;mar-24;3241345;
2021;mar-25;3247738;
2021;mar-26;3255324;
2021;mar-27;;
2021;mar-28;;
2021;mar-29;3270825;
2021;mar-30;3275819;
2021;mar-31;3284353;
2021;abr-01;3291394;
2021;abr-02;;
2021;abr-03;3300965;
2021;abr-04;;
2021;abr-05;3311325;
2021;abr-06;3317948;
2021;abr-07;3326736;
2021;abr-08;3336637;
2021;abr-09;3347512;
2021;abr-10;;
2021;abr-11;;
2021;abr-12;3370256;
2021;abr-13;3376548;
2021;abr-14;3387022;
2021;abr-15;3396685;
2021;abr-16;3407283;
2021;abr-17;;
2021;abr-18;;
2021;abr-19;3428354;
2021;abr-20;3435840;
2021;abr-21;3446072;
2021;abr-22;3456886;
2021;abr-23;3468617;
2021;abr-24;;
2021;abr-25;;
2021;abr-26;3488469;
2021;abr-27;3496134;
2021;abr-28;3504799;
2021;abr-29;3514942;
2021;abr-30;3524077;
2021;may-01;;
2021;may-02;;
2021;may-03;3540430;
2021;may-04;3544945;
2021;may-05;3551262;
2021;may-06;3559222;
2021;may-07;3567408;
2021;may-08;;
2021;may-09;;
2021;may-10;3581392;
2021;may-11;3586333;
2021;may-12;3592751;
2021;may-13;3598452;
2021;may-14;3604799;
2021;may-15;;
2021;may-16;;
2021;may-17;3615860;
2021;may-18;3619848;
2021;may-19;3625928;
2021;may-20;3631661;
2021;may-21;3636453;
2021;may-22;;
2021;may-23;;
2021;may-24;3647520;
2021;may-25;3652879;
2021;may-26;3657886;
2021;may-27;3663176;
2021;may-28;3668658;
2021;may-29;;
2021;may-30;;
2021;may-31;3678390;
2021;jun-01;3682778;
2021;jun-02;3687762;
2021;jun-03;3693012;
2021;jun-04;3697987;
2021;jun-05;;
2021;jun-06;;
2021;jun-07;3707523;
2021;jun-08;3711027;
2021;jun-09;3715454;
2021;jun-10;3729458;
2021;jun-11;3733600;
2021;jun-12;;
2021;jun-13;;
2021;jun-14;3741767;
2021;jun-15;3745199;
2021;jun-16;;
2021;jun-17;;
2021;jun-18;3757442;
2021;jun-19;;
2021;jun-20;;
2021;jun-21;3764651;
2021;jun-22;3768691;
2021;jun-23;3773032;
2021;jun-24;3773032;
2021;jun-25;3782463;
2021;jun-26;;
2021;jun-27;;
2021;jun-28;3792642;
2021;jun-29;3799733;
2021;jun-30;3808960;
2021;jul-01;3821305;
2021;jul-02;3833868;
2021;jul-03;;
2021;jul-04;;
2021;jul-05;3866475;
2021;jul-06;3880612;
2021;jul-07;3897996;
2021;jul-08;3915313;
2021;jul-09;3937192;
2021;jul-10;;
2021;jul-11;;
2021;jul-12;3971124;
2021;jul-13;4015084;
2021;jul-14;4041474;
2021;jul-15;4069162;
2021;jul-16;4100222;
2021;jul-17;;
2021;jul-18;;
2021;jul-19;4161850;
2021;jul-20;4189136;
2021;jul-21;4219723;
2021;jul-22;4249258;
2021;jul-23;4280429;
2021;jul-24;;
2021;jul-25;;
2021;jul-26;4342054;
2021;jul-27;4368453;
2021;jul-28;4395602;
2021;jul-29;4422291;
2021;jul-30;4447044;
2021;jul-31;;
2021;ago-01;;
2021;ago-02;4502983;
2021;ago-03;4523310;
2021;ago-04;4545184;
2021;ago-05;4566571;
2021;ago-06;4588132;
2021;ago-07;;
2021;ago-08;;
2021;ago-09;4627770;
2021;ago-10;4643450;
2021;ago-11;4660473;
2021;ago-12;4677883;
2021;ago-13;4693540;
2021;ago-14;;
2021;ago-15;;
2021;ago-16;4719266;
2021;ago-17;4733602;
